Block,Location Description,Latitude,Longitude,X Coordinate,Y Coordinate,Community Area,Ward,District,Beat,LocationID
072XX S MARSHFIELD AVE,RESIDENTIAL YARD (FRONT/BACK),41.762233087,-87.664962179,1166597.0,1856657.0,67,17,7,735,582215
011XX S MOZART ST,SIDEWALK,41.867324065,-87.697145871,1157533.0,1894885.0,29,28,11,1135,299023
014XX S KARLOV AVE,STREET,41.861878885,-87.727489694,1149282.0,1892841.0,29,24,10,1011,493930
012XX N WASHTENAW AVE,RESIDENCE,41.904150566,-87.694447755,1158168.0,1908310.0,24,26,14,1423,68613
095XX S VINCENNES AVE,RESTAURANT,41.720880947,-87.650808427,1170578.0,1841619.0,73,21,22,2213,579034
034XX W BERTEAU AVE,RESIDENCE,41.95748607,-87.713753875,1152772.0,1927707.0,16,33,17,1723,372775
054XX S EVERETT AVE,APARTMENT,41.795906968,-87.582553452,1188973.0,1869113.0,41,5,2,234,620946
121XX S GREEN ST,RESIDENCE,41.673324338,-87.642980199,1172854.0,1824307.0,53,34,5,524,423553
063XX S ASHLAND AVE,TAXICAB,41.779012821,-87.664208692,1166755.0,1862773.0,67,16,7,725,655407
031XX N ST LOUIS AVE,STREET,41.937975376,-87.714898378,1152512.0,1920595.0,21,35,14,1412,634532
055XX N AUSTIN AVE,RESIDENCE-GARAGE,41.981826917,-87.778058378,1135224.0,1936457.0,11,45,16,1622,319601
062XX S MULLIGAN AVE,APARTMENT,41.778943236,-87.780090715,1135148.0,1862523.0,64,23,8,812,647496
038XX S KEDZIE AVE,ALLEY,41.823258303,-87.704417331,1155670.0,1878813.0,58,12,9,911,526819
105XX S AVENUE N,STREET,41.703616346,-87.538911146,1201184.0,1835590.0,52,10,4,432,737959
006XX N ROCKWELL ST,STREET,41.892968869,-87.691687047,1158950.0,1904241.0,24,26,12,1313,224408
030XX W 71ST ST,APARTMENT,41.764446153,-87.69855541,1157426.0,1857394.0,66,18,8,831,400156
045XX S ST LAWRENCE AVE,ALLEY,41.812569326,-87.611528618,1181021.0,1875117.0,38,3,2,221,250896
053XX S LAKE SHORE DR SB,PARK PROPERTY,41.799282633,-87.581325792,1189297.0,1870346.0,41,5,2,234,618350
009XX N LOCKWOOD AVE,SIDEWALK,41.897343866,-87.758111361,1140854.0,1905707.0,25,37,15,1524,589908
014XX S PRAIRIE AVE,RESIDENCE,41.863025735,-87.621266203,1178214.0,1893481.0,33,2,1,132,393271
026XX N MILWAUKEE AVE,STREET,41.929835191,-87.708663455,1154230.0,1917641.0,22,35,14,1412,480403
054XX W CRYSTAL ST,VEHICLE NON-COMMERCIAL,41.903084038,-87.762354063,1139685.0,1907791.0,25,37,25,2532,54984
045XX S WESTERN AVE,SIDEWALK,41.810897133,-87.684510231,1161130.0,1874349.0,58,12,9,914,59788
042XX N KEDVALE AVE,SIDEWALK,41.958203455,-87.730986389,1148083.0,1927935.0,16,39,17,1722,252794
122XX S MICHIGAN AVE,STREET,41.67197029,-87.620326846,1179047.0,1823864.0,53,9,5,532,629085
047XX N PULASKI RD,APARTMENT,41.967916073,-87.728019381,1148865.0,1931480.0,14,39,17,1722,155071
009XX N FRANCISCO AVE,RESIDENCE,41.898414229,-87.699239616,1156879.0,1906210.0,24,26,12,1311,221981
071XX S MOZART ST,STREET,41.763876069,-87.694232123,1158607.0,1857195.0,66,18,8,831,693721
103XX S BENSLEY AVE,RESIDENCE,41.707690243,-87.563295528,1194512.0,1837014.0,51,10,4,434,28195
021XX W WASHINGTON BLVD,APARTMENT,41.883089926,-87.680064034,1162142.0,1900665.0,28,2,12,1223,487702
058XX S SPAULDING AVE,STREET,41.787107298,-87.705819481,1155384.0,1865637.0,63,14,8,822,640622
006XX W 119TH ST,APARTMENT,41.677863555,-87.637532352,1174329.0,1825973.0,53,34,5,524,266251
038XX W ARGYLE ST,SIDEWALK,41.971929001,-87.724039252,1149937.0,1932950.0,14,39,17,1712,69286
105XX S EBERHART AVE,VACANT LOT/LAND,41.702830987,-87.611204581,1181445.0,1835130.0,49,9,5,512,468294
034XX N SEMINARY AVE,SIDEWALK,41.944084843,-87.656659384,1168340.0,1922941.0,6,44,19,1924,379895
099XX S AVENUE J,SIDEWALK,41.715045795,-87.534071211,1202467.0,1839767.0,52,10,4,432,383422
079XX S TRUMBULL AVE,RESIDENCE,41.748932059,-87.708470785,1154762.0,1851721.0,70,18,8,834,732461
133XX S LANGLEY AVE,STREET,41.653129026,-87.604796608,1183348.0,1817034.0,54,9,5,533,165311
088XX S BLACKSTONE AVE,RESIDENCE,41.734341742,-87.588074071,1187662.0,1846666.0,48,8,4,412,99853
049XX W IRVING PARK RD,STREET,41.953375929,-87.750571379,1142768.0,1926139.0,15,45,16,1624,599699
103XX S LOWE AVE,RESIDENCE,41.706299278,-87.639174114,1173797.0,1836331.0,49,34,22,2232,291881
017XX W MONROE ST,STREET,41.880123043,-87.669474562,1165034.0,1899606.0,28,27,12,1211,199135
018XX N HUDSON AVE,OTHER,41.915349133,-87.639937196,1172974.0,1912506.0,7,43,18,1813,714450
001XX W 33RD ST,CTA PLATFORM,41.834609981,-87.630791672,1175704.0,1883105.0,34,11,9,915,26088
044XX N HAMLIN AVE,APARTMENT,41.962178603,-87.722962931,1150255.0,1929399.0,14,39,17,1723,652757
017XX N HOYNE AVE,APARTMENT,41.913599947,-87.679991814,1162077.0,1911783.0,24,32,14,1434,745929
087XX S PAULINA ST,SIDEWALK,41.735303486,-87.665483268,1166531.0,1846843.0,71,21,22,2221,733706
005XX W MADISON ST,OTHER,41.881883933,-87.640060441,1173039.0,1900311.0,28,42,1,111,70324
049XX W LE MOYNE ST,SIDEWALK,41.907742643,-87.749579573,1143151.0,1909512.0,25,37,25,2533,711349
017XX N ALBANY AVE,SPORTS ARENA/STADIUM,41.912620377,-87.704591592,1155384.0,1911376.0,23,26,14,1421,586460
067XX S DAMEN AVE,SIDEWALK,41.770873159,-87.673685208,1164193.0,1859787.0,67,15,7,726,79787
012XX W 18TH ST,SIDEWALK,41.857922021,-87.658170505,1168176.0,1891540.0,31,25,12,1233,595084
003XX N WABASH AVE,STREET,41.888632859,-87.627137129,1176538.0,1902799.0,8,42,18,1834,644751
010XX N LOCKWOOD AVE,SIDEWALK,41.899377644,-87.758170246,1140833.0,1906448.0,25,37,15,1524,314041
014XX W 70TH ST,SIDEWALK,41.766777448,-87.660695885,1167748.0,1858322.0,67,17,7,734,171069
017XX N MC VICKER AVE,STREET,41.911636015,-87.776514236,1135810.0,1910882.0,25,29,25,2513,583397
0000X N LATROBE AVE,VACANT LOT/LAND,41.881058692,-87.756307529,1141385.0,1899776.0,25,28,15,1522,549325
029XX W WARREN BLVD,STREET,41.881953603,-87.700114796,1156685.0,1900210.0,27,2,12,1222,494480
038XX W JACKSON BLVD,RESIDENTIAL YARD (FRONT/BACK),41.877138934,-87.721654101,1150832.0,1898413.0,26,28,11,1133,231258
014XX N CENTRAL AVE,STREET,41.906413452,-87.765806975,1138737.0,1908998.0,25,29,25,2531,647821
065XX S INGLESIDE AVE,RESIDENTIAL YARD (FRONT/BACK),41.775937139,-87.602176596,1183684.0,1861790.0,42,20,3,321,429723
030XX N LONG AVE,RESIDENTIAL YARD (FRONT/BACK),41.935349106,-87.761478319,1139845.0,1919550.0,19,31,25,2514,604600
072XX S YATES BLVD,RESIDENCE,41.76346204,-87.566466731,1193465.0,1857329.0,43,7,3,334,211202
056XX S ROCKWELL ST,STREET,41.791500304,-87.688856955,1159998.0,1867272.0,63,16,8,824,148153
092XX S ELIZABETH ST,STREET,41.725841244,-87.65427269,1169618.0,1843419.0,73,21,22,2222,313460
041XX W MADISON ST,STREET,41.880685292,-87.729060013,1148806.0,1899691.0,26,28,11,1115,133166
022XX W BARRY AVE,STREET,41.937676301,-87.68457191,1160764.0,1920547.0,5,32,19,1931,293529
010XX E 47TH ST,VEHICLE NON-COMMERCIAL,41.809597616,-87.600744885,1183970.0,1874059.0,39,4,2,222,390925
014XX N SPRINGFIELD AVE,STREET,41.906877029,-87.723996951,1150117.0,1909245.0,23,30,25,2535,496448
025XX N KILBOURN AVE,RESIDENCE,41.927930431,-87.739117038,1145948.0,1916888.0,20,31,25,2521,453173
038XX W GLADYS AVE,STREET,41.876229225,-87.721398401,1150904.0,1898082.0,26,28,11,1133,507025
023XX E 70TH PL,RESIDENCE,41.767137855,-87.568706645,1192842.0,1858663.0,43,5,3,331,334875
036XX S ALBANY AVE,SIDEWALK,41.827507393,-87.702089904,1156293.0,1880366.0,58,12,9,911,739941
036XX W 73RD ST,OTHER,41.760523877,-87.714021178,1153217.0,1855934.0,65,13,8,833,189502
087XX S HARPER AVE,STREET,41.736106917,-87.586895882,1187978.0,1847312.0,48,8,4,412,306273
014XX W JONQUIL TER,RESIDENCE,42.021127076,-87.667266451,1165236.0,1950993.0,1,49,24,2422,556127
111XX S LONGWOOD DR,RESIDENCE-GARAGE,41.691550073,-87.672013874,1164871.0,1830886.0,75,19,22,2212,279412
013XX W GRENSHAW ST,STREET,41.867788857,-87.659784903,1167708.0,1895132.0,28,2,12,1231,414826
107XX S DR MARTIN LUTHER KING JR DR,CTA BUS,41.699555312,-87.613559145,1180812.0,1833931.0,49,9,5,513,632949
038XX W GRAND AVE,ABANDONED BUILDING,41.904343526,-87.721824298,1150715.0,1908326.0,23,27,25,2535,557827
039XX W ROOSEVELT RD,CTA BUS STOP,41.866182092,-87.724416575,1150108.0,1894415.0,29,24,11,1132,695519
074XX N PAULINA ST,STREET,42.016442806,-87.672496668,1163828.0,1949275.0,1,49,24,2422,270111
007XX E 47TH ST,OTHER,41.809504737,-87.608599238,1181829.0,1874007.0,38,4,2,221,310498
071XX S HALSTED ST,CTA BUS STOP,41.764748911,-87.644401916,1172199.0,1857618.0,68,6,7,733,508565
048XX W HARRISON ST,CTA BUS STOP,41.87311739,-87.745595187,1144322.0,1896902.0,25,24,15,1533,537806
014XX W ALBION AVE,ALLEY,42.001788342,-87.666239372,1165570.0,1943948.0,1,40,24,2432,736237
082XX S MORGAN ST,RESIDENCE,41.744225323,-87.64871076,1171083.0,1850130.0,71,21,6,613,149756
061XX S MORGAN ST,SIDEWALK,41.78246763,-87.649715713,1170698.0,1864063.0,68,16,7,712,347816
063XX S RHODES AVE,APARTMENT,41.779479013,-87.61200248,1180993.0,1863058.0,42,20,3,312,489574
075XX N DAMEN AVE,OTHER,42.018444945,-87.680454267,1161660.0,1949988.0,1,49,24,2424,685555
005XX E 38TH ST,APARTMENT,41.825705753,-87.613652178,1180402.0,1879899.0,35,4,2,212,167020
081XX S MARSHFIELD AVE,APARTMENT,41.745926703,-87.664537693,1166759.0,1850716.0,71,21,6,614,336624
010XX N FRANCISCO AVE,RESTAURANT,41.899566969,-87.699268617,1156868.0,1906630.0,24,26,12,1311,175332
070XX S WOLCOTT AVE,SIDEWALK,41.765861094,-87.671130332,1164904.0,1857966.0,67,17,7,735,240113
027XX S ELEANOR ST,STREET,41.844439598,-87.660528983,1167572.0,1886622.0,60,11,9,913,120391
056XX S WOOD ST,APARTMENT,41.791383849,-87.669371561,1165312.0,1867270.0,67,15,7,715,405115
133XX S VERNON AVE,VEHICLE NON-COMMERCIAL,41.652336129,-87.611355365,1181558.0,1816730.0,54,9,5,533,632853
004XX W DIVISION ST,CONVENIENCE STORE,41.903775756,-87.639324074,1173175.0,1908290.0,8,27,18,1821,204404
075XX S COLFAX AVE,APARTMENT,41.758121351,-87.561505441,1194836.0,1855395.0,43,7,4,421,729917
057XX W 65TH ST,APARTMENT,41.774342557,-87.764663149,1139367.0,1860874.0,64,13,8,812,149160
034XX W DICKENS AVE,RESIDENCE,41.919158947,-87.712489689,1153217.0,1913743.0,22,26,14,1413,502801
092XX S NORMAL AVE,RESIDENCE,41.726135536,-87.636051965,1174591.0,1843566.0,73,21,22,2223,187797
014XX W CULLERTON ST,RESIDENCE,41.85513261,-87.662641344,1166966.0,1890514.0,31,25,12,1235,536497
010XX W DAKIN ST,OTHER,41.953497892,-87.655331941,1168674.0,1926374.0,6,44,19,1923,625130
054XX S UNIVERSITY AVE,COLLEGE/UNIVERSITY RESIDENCE HALL,41.797577498,-87.598138607,1184718.0,1869685.0,41,4,2,233,284145
049XX N KOLMAR AVE,RESIDENCE,41.971152369,-87.74401083,1144508.0,1932629.0,14,39,17,1712,711534
007XX W 41ST ST,OTHER,41.820313777,-87.643707595,1172226.0,1877867.0,61,11,9,925,623864
016XX N LOREL AVE,STREET,41.910382511,-87.75936098,1140482.0,1910456.0,25,37,25,2532,102576
038XX W LEXINGTON ST,RESIDENTIAL YARD (FRONT/BACK),41.871674684,-87.721570351,1150869.0,1896422.0,26,24,11,1133,530543
040XX W KAMERLING AVE,APARTMENT,41.905357101,-87.727699641,1149113.0,1908684.0,23,27,25,2534,681966
021XX S HALSTED ST,STREET,41.853228815,-87.646510805,1171366.0,1889855.0,31,25,12,1233,81284
004XX E 79TH ST,SIDEWALK,41.751124229,-87.61451519,1180394.0,1852720.0,44,6,6,624,742543
017XX W FLETCHER ST,RESIDENCE,41.938742274,-87.671799929,1164236.0,1920962.0,6,32,19,1931,314031
023XX W 24TH ST,APARTMENT,41.84842189,-87.683955017,1161178.0,1888024.0,31,25,10,1034,32486
016XX N ARTESIAN AVE,STREET,41.911038035,-87.688456807,1159780.0,1910832.0,24,1,14,1434,725115
002XX E 72ND ST,STREET,41.763799174,-87.61964098,1178957.0,1857327.0,69,6,3,323,289808
035XX W POTOMAC AVE,SIDEWALK,41.904582292,-87.714655027,1152666.0,1908427.0,23,26,14,1422,92445
061XX N KENMORE AVE,STREET,41.993270673,-87.656911137,1168130.0,1940864.0,77,48,24,2433,56972
019XX E 73RD ST,OTHER,41.762507528,-87.576891409,1190624.0,1856956.0,43,5,3,333,332497
060XX S WHIPPLE ST,RESIDENCE-GARAGE,41.783640118,-87.699612764,1157086.0,1864386.0,66,16,8,823,214205
022XX N LOWELL AVE,STREET,41.921680978,-87.735254356,1147015.0,1914618.0,20,31,25,2522,212331
014XX W HUBBARD ST,OTHER,41.889945222,-87.662482973,1166910.0,1903200.0,24,27,12,1215,31236
031XX W GRAND AVE,VEHICLE-COMMERCIAL,41.897524786,-87.704673571,1155402.0,1905875.0,23,26,12,1211,467534
090XX S ESCANABA AVE,SIDEWALK,41.731097268,-87.55404759,1196960.0,1845566.0,46,10,4,423,418612
044XX W MONROE ST,RESIDENTIAL YARD (FRONT/BACK),41.879632018,-87.736505875,1146781.0,1899293.0,26,28,11,1113,654269
062XX S CALIFORNIA AVE,VEHICLE NON-COMMERCIAL,41.780353861,-87.69343058,1158781.0,1863201.0,66,15,8,825,276008
006XX N LOREL AVE,RESIDENCE,41.892113487,-87.759238091,1140560.0,1903799.0,25,37,15,1524,562652
006XX N ST LOUIS AVE,STREET,41.892277885,-87.713778454,1152937.0,1903945.0,23,27,11,1121,31869
007XX N HAMLIN AVE,ALLEY,41.894224684,-87.721153195,1150924.0,1904640.0,23,27,11,1112,478043
019XX W MARQUETTE RD,STREET,41.772101576,-87.671597709,1164759.0,1860239.0,67,15,7,726,83033
009XX W 71ST ST,ALLEY,41.7651588,-87.647318956,1171402.0,1857761.0,68,17,7,733,712625
014XX W MONROE ST,OTHER,41.880239322,-87.662566142,1166915.0,1899663.0,28,2,12,1211,168469
079XX S WOLCOTT AVE,APARTMENT,41.749324117,-87.670688322,1165071.0,1851941.0,71,18,6,611,27184
002XX E CHICAGO AVE,STREET,41.896763927,-87.622228525,1177850.0,1905773.0,8,42,18,1833,215089
014XX N DAMEN AVE,RESIDENCE,41.907501113,-87.677383251,1162804.0,1909566.0,24,1,14,1424,616237
048XX W ARTHINGTON ST,SIDEWALK,41.869353897,-87.74537633,1144391.0,1895531.0,25,24,15,1533,515929
002XX S MICHIGAN AVE,RESIDENCE,41.879117812,-87.624340998,1177328.0,1899338.0,32,42,1,114,634794
002XX N LAVERGNE AVE,SIDEWALK,41.884914382,-87.75033461,1143002.0,1901192.0,25,28,15,1532,219419
0000X N MENARD AVE,APARTMENT,41.881169556,-87.7697907,1137713.0,1899792.0,25,29,15,1513,430400
